Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Sales,Profit,Payment_Mode
1001,2026-01-02,C001,Laptop,Electronics,Pune,2,100000,15000,UPI
1002,2026-01-04,C002,Mouse,Accessories,Mumbai,5,5000,1500,Credit Card
1003,2026-01-06,C003,Keyboard,Accessories,Pune,3,4500,1200,UPI
1004,2026-01-08,C004,Monitor,Electronics,Nashik,2,30000,5000,Debit Card
1005,2026-01-10,C005,Laptop,Electronics,Mumbai,1,50000,7500,Credit Card
1006,2026-01-12,C006,Mouse,Accessories,Nashik,8,8000,2400,UPI
1007,2026-01-15,C007,Keyboard,Accessories,Pune,4,6000,1600,Cash
1008,2026-01-18,C008,Monitor,Electronics,Mumbai,3,45000,7500,Credit Card
1009,2026-01-20,C009,Laptop,Electronics,Nashik,2,100000,15000,UPI
1010,2026-01-22,C010,Mouse,Accessories,Pune,6,6000,1800,Debit Card
1011,2026-02-02,C011,Keyboard,Accessories,Pune,1,50000,7500,UPI
1012,2026-02-05,C012,Monitor,Electronics,Mumbai,5,7500,2000,Cash
1013,2026-02-08,C013,Laptop,Electronics,Pune,2,30000,5000,Credit Card
1014,2026-02-11,C014,Mouse,Accessories,Nashik,10,10000,3000,UPI
1015,2026-02-14,C015,Keyboard,Accessories,Mumbai,1,50000,7500,Debit Card
1016,2026-02-18,C016,Monitor,Electronics,Nashik,3,4500,1200,Cash
1017,2026-02-21,C017,Laptop,Electronics,Pune,4,60000,10000,Credit Card
1018,2026-02-24,C018,Mouse,Accessories,Mumbai,7,7000,2100,UPI
1019,2026-02-26,C019,Keyboard,Accessories,Nashik,1,50000,7500,Credit Card
1020,2026-02-28,C020,Monitor,Electronics,Pune,4,6000,1600,Debit Card
1021,2026-03-03,C021,Laptop,Electronics,Pune,3,45000,7500,UPI
1022,2026-03-06,C022,Mouse,Accessories,Mumbai,9,9000,2700,Cash
1023,2026-03-09,C023,Keyboard,Accessories,Pune,2,100000,15000,Credit Card
1024,2026-03-12,C024,Monitor,Electronics,Nashik,6,9000,2400,UPI
1025,2026-03-15,C025,Laptop,Electronics,Mumbai,2,30000,5000,Debit Card
1026,2026-03-18,C026,Mouse,Accessories,Nashik,5,5000,1500,Cash
1027,2026-03-21,C027,Keyboard,Accessories,Pune,2,100000,15000,UPI
1028,2026-03-24,C028,Monitor,Electronics,Mumbai,3,4500,1200,Credit Card
1029,2026-03-27,C029,Mouse,Accessories,Nashik,4,60000,10000,UPI
1030,2026-03-30,C030,Keyboard,Accessories,Pune,6,6000,1800,Debit Card
